LoanID,Application_ID,PortfolioID,ApplicationDate,Payin_120days
I1949429-0,87001979,1,46:43.0,0.3
I1986925-0,87749830,1,08:20.0,1.175
I2275400-0,99469334,7,58:09.0,1.2
I2111792-0,128487756,5,40:05.0,1.12857
I2031975-0,102389327,6,33:48.0,0
I2147954-0,92718119,7,38:56.0,1.5375
I2235261-0,96679205,7,17:04.0,0.6
I1977583-0,87602635,1,39:08.0,1.3
I2050891-0,102742644,6,10:06.0,0
I1916818-0,122866600,5,48:25.0,1
I2101331-0,89781612,1,44:25.0,0.70625
I1936068-0,123828383,5,47:04.0,1.471433
I2173573-0,105823265,6,56:46.0,1.25
I2160861-0,93281760,7,16:49.0,2.0625
I1924841-0,86392867,7,39:49.0,2.5
I2259649-0,134810614,5,26:06.0,1.3
I2344808-0,103057395,7,56:42.0,2.65
I2269572-0,96448755,1,01:29.0,2.62
I2173648-0,130976752,5,49:54.0,0.090909
I1969915-0,87817198,7,53:00.0,1.1
I2136876-0,129568629,5,47:16.0,1.3
I2147838-0,92713743,7,12:57.0,1.38
I2263301-0,96074012,1,29:25.0,1.083333
I1924213-0,123280072,5,45:55.0,0.125
I2204128-0,131774617,5,26:35.0,0.75
I2164628-0,91780290,1,28:02.0,0.4125
I2366840-0,100897652,1,31:59.0,1.0645
I1945994-0,100867853,6,05:42.0,2.545
I2048491-0,127002865,5,30:21.0,0
I2116697-0,103963745,6,41:21.0,0
I2153332-0,130250085,5,49:01.0,0.99
I2196791-0,92587099,1,51:56.0,1.051428
I2343976-0,99885746,1,41:12.0,2.6125
I2037703-0,89323717,7,25:04.0,2.466666
I2272775-0,96636472,1,18:05.0,1.32464
I2260613-0,134876912,5,00:08.0,0.3
I2084617-0,103294878,6,39:56.0,0
I2367126-0,100898300,1,19:05.0,0.4375
I1937428-0,86850758,7,20:52.0,1.21913
I2266283-0,98853916,7,59:39.0,0
I2041086-0,126784736,5,36:49.0,0.223333
I2059428-0,102880799,6,06:53.0,1.45
I1926890-0,86456579,7,03:15.0,0.988
I2064430-0,127382147,5,38:17.0,1.234366
I2134154-0,92023519,7,25:46.0,0.4
I2239397-0,94685717,1,12:02.0,1.6
I2092274-0,128000576,5,50:44.0,2.60238
I2386795-0,104861631,7,47:45.0,1.3
I2364474-0,114591032,6,55:37.0,1.886666
I1963847-0,101300215,6,13:56.0,0.3
I2077244-0,127648804,5,14:16.0,2.4
I2107636-0,128455077,5,22:17.0,0.7
I2150410-0,105091788,6,07:42.0,0.516666
I2068507-0,90107505,7,53:59.0,1.116666
I2115581-0,90078814,1,39:11.0,1.167358
I2164659-0,93457946,7,10:02.0,1.20588
I2312195-0,98634780,1,41:20.0,1.666666
I2243454-0,108732818,6,34:52.0,0.85
I2294637-0,100691959,7,19:46.0,2.335
I2358687-0,103741501,7,29:11.0,1
I2274693-0,99432649,7,19:49.0,2.436666
I2348776-0,138987471,5,09:24.0,1
I2397224-0,105317991,7,27:31.0,1.6
I2133798-0,90684780,1,30:22.0,0.255
I2270481-0,96503969,1,16:07.0,2.416666
I1970408-0,101438009,6,10:26.0,1.25
I2369760-0,139812468,5,18:47.0,1.97
I2364974-0,114610748,6,31:43.0,0.153333
I2276327-0,96829094,1,23:25.0,1.22644
I2021190-0,102217907,6,02:12.0,0.492857
I2272975-0,110489030,6,33:18.0,1
I2359807-0,100607849,1,40:45.0,0
I2248829-0,97615919,7,51:26.0,2.6375
I2047234-0,126959049,5,30:03.0,1.75
I2231379-0,107889815,6,20:43.0,1.808333
I2130251-0,90519246,1,14:55.0,0.283333
I2159438-0,105392166,6,32:16.0,1.052938
I2041999-0,126815754,5,21:18.0,0.3
I2055421-0,88936409,1,02:43.0,1.05
I2344575-0,99926253,1,05:01.0,1.813529
I2054925-0,127188049,5,07:44.0,2.591428
I2099537-0,128190633,5,13:29.0,1.123333
I2144936-0,104918437,6,48:47.0,1.497916
I2290260-0,97639886,1,52:08.0,0.3
I1984872-0,87724014,1,23:11.0,2.823333
I2110077-0,103771562,6,29:55.0,0.243333
I2289501-0,111402285,6,13:48.0,0
I2075581-0,89274228,1,48:56.0,1.50714
I2206639-0,106743437,6,41:08.0,2.26071
I2214328-0,132123332,5,29:56.0,2.62
I2377456-0,115050605,6,18:14.0,1.03752
I2345007-0,103067164,7,03:12.0,1.30625
I2152234-0,91401269,1,37:57.0,1.933873
I2277942-0,96925907,1,13:53.0,1.3
I1969258-0,87806664,7,53:22.0,1.133333
I2183210-0,131174001,5,15:12.0,2.586666
I2066179-0,102980189,6,48:53.0,1.64
I1913531-0,99707493,6,33:08.0,1.3
I2203336-0,94848591,7,24:41.0,1.105555
I2040390-0,88622449,1,24:31.0,1.625
I2233881-0,133303693,5,10:44.0,2.3
I2027927-0,88370593,1,32:55.0,0
I2146728-0,92643979,7,17:47.0,2.13
I2332783-0,138326408,5,12:51.0,1
I2283544-0,97289970,1,49:52.0,0
I2262426-0,134997249,5,28:49.0,2
I2027651-0,88364115,1,21:01.0,0
I2383766-0,101534327,1,57:25.0,1.25
I2383024-0,101500310,1,52:23.0,2.05
I2218952-0,95562333,7,18:40.0,0.3
I2120982-0,104059006,6,04:16.0,0.258333
I2378971-0,101333985,1,19:10.0,0.6
I1960878-0,87258137,1,53:15.0,2
I2395143-0,140988883,5,11:19.0,1.45
I2368862-0,104163326,7,11:21.0,1.035
I2214643-0,132135920,5,41:05.0,2.23
I2164065-0,93435978,7,43:03.0,1.625
I2276177-0,135796850,5,39:35.0,1.1125
I2339749-0,99724524,1,50:55.0,1
I2195051-0,94474054,7,18:58.0,1.54828
I2365628-0,100859964,1,29:57.0,2.53
I1978252-0,87615667,1,05:39.0,0
I2132001-0,91910246,7,20:37.0,2.545
I2221599-0,93510023,1,11:53.0,1.45
I2051111-0,88855746,1,29:30.0,0
I2208648-0,106829443,6,41:04.0,1.979166
I2373214-0,104311838,7,01:11.0,1.059133
I2170883-0,93728803,7,54:08.0,1.006833
I2231227-0,107886234,6,24:11.0,1.9
I1940148-0,86962217,7,00:05.0,1
I2186420-0,131249139,5,39:30.0,1.16875
I2352447-0,114073912,6,09:11.0,2.2
I2034836-0,89256647,7,04:34.0,1.4
I2335580-0,99556188,1,26:38.0,2.45
I2084406-0,90505388,7,44:06.0,2.528571
I1957914-0,87177911,1,11:46.0,1.3
I2002471-0,88501056,7,54:46.0,2.603333
I2153394-0,92967592,7,04:41.0,1.2
I2253446-0,134434470,5,02:32.0,0.7375
I2204719-0,131790515,5,52:18.0,0.3
I2123262-0,91521246,7,08:27.0,1.25
I2133952-0,129406675,5,00:56.0,0.383333
I2182715-0,131163427,5,24:42.0,2.23
I2110434-0,128487319,5,36:45.0,1.95
I2104608-0,91011536,7,07:06.0,0.702857
I2109725-0,91118856,7,31:43.0,1
I2046652-0,88749783,1,45:51.0,2.126666
I2030309-0,88419336,1,07:01.0,1
I2378342-0,140132578,5,44:47.0,1.366666
I2103606-0,89828311,1,15:40.0,0
I2164720-0,130678258,5,22:13.0,1.15
I2017006-0,126200975,5,46:13.0,1
I2363595-0,100785205,1,10:30.0,0
I2086413-0,127870331,5,17:30.0,1.2
I2031375-0,102380256,6,43:50.0,1.988888
I2223496-0,93586120,1,49:08.0,1.208333
I2283835-0,97312901,1,33:05.0,2.31
I2118394-0,91382965,7,54:35.0,2.143333
I2250892-0,95329983,1,08:57.0,1.43
I2113036-0,89985482,1,42:51.0,2.591666
I2189800-0,106184146,6,25:37.0,1.177692
I2108366-0,103760318,6,10:57.0,0.531813
I2047730-0,89612277,7,35:29.0,0
I2344733-0,138780011,5,47:54.0,0.885714
I2343839-0,102987893,7,27:18.0,0.3
I2050921-0,127079587,5,20:05.0,1.225
I2079791-0,89359510,1,22:13.0,2.8625
I2308061-0,98468496,1,11:27.0,2.154283
I2163319-0,93405759,7,25:43.0,1.183333
I2154278-0,92992130,7,08:55.0,0.756666
I2155803-0,93045508,7,17:20.0,1.875
I2130836-0,129235694,5,45:53.0,2.663333
I2012646-0,88717705,7,16:13.0,0.63125
I2311247-0,112354101,6,24:01.0,0.255
I2205867-0,106714677,6,55:17.0,1
I2099028-0,89729722,1,27:12.0,1.8
I2352136-0,103440266,7,22:42.0,1.12858
I2111498-0,103793894,6,36:37.0,0.65
I2212044-0,95205626,7,45:44.0,2.866666
I2337524-0,113378684,6,08:56.0,0.45625
I2109953-0,91118976,7,01:48.0,0.243333
I2097916-0,90825787,7,04:18.0,1.58
I2217484-0,132281011,5,19:15.0,1.125
I2181762-0,94024219,7,11:12.0,1.175972
I2324507-0,99143347,1,38:02.0,1.1125
I2103330-0,89818828,1,43:47.0,1.3
I2361845-0,103864332,7,51:01.0,0
I1996398-0,101871970,6,25:18.0,0.833333
I2241048-0,94783630,1,18:30.0,1.525
I2251074-0,97763622,7,17:37.0,0
I2027540-0,102307108,6,42:24.0,0.841666
I2050758-0,127073931,5,29:34.0,1
I2223469-0,95800418,7,34:58.0,0.3
I2029588-0,89109274,7,55:17.0,2.9
I2237875-0,133595149,5,20:50.0,2.62
I2109762-0,128486947,5,55:18.0,2.336666
I2200855-0,94739741,7,30:05.0,2.071425
I2150086-0,91328611,1,11:54.0,1.45
I1954242-0,101098572,6,54:50.0,0.8
I2138843-0,129648380,5,37:44.0,0.25
I2185743-0,94135544,7,16:12.0,0.921428
I2080540-0,90385471,7,27:06.0,0.9
I2247434-0,108973025,6,53:29.0,1.01095
I2393085-0,102030045,1,58:02.0,0.3
I2213874-0,132101041,5,34:43.0,0.2
I2395331-0,105245213,7,45:53.0,1.233333
I2212178-0,95210428,7,22:28.0,0.6
I2325088-0,112904978,6,18:30.0,1.275
I1997146-0,87887285,1,35:09.0,3.033333
I2167389-0,105633321,6,16:29.0,1.328053
I2026139-0,88335284,1,09:22.0,2.62
I2137602-0,92198127,7,26:09.0,0.233333
I2210094-0,95140548,7,56:18.0,1.183333
I2005267-0,88003038,1,32:52.0,2.0625
I2390383-0,101907892,1,09:19.0,1.058333
I2220652-0,95671820,7,05:49.0,1.05
I2162261-0,93344416,7,07:49.0,2.293333
I2270974-0,110368875,6,41:03.0,1
I1979562-0,101616211,6,42:19.0,1
I2139877-0,104734771,6,43:15.0,0
I2154742-0,105232994,6,29:50.0,2.561538
I1933650-0,123716551,5,37:07.0,1.9075
I2137779-0,104669855,6,02:41.0,2.745384
I2107196-0,89908924,1,01:57.0,1.74286
I2177783-0,92119092,1,14:17.0,2.62
I1969368-0,87808801,7,41:39.0,1.589866
I2161879-0,93328297,7,36:08.0,2.333333
I2164624-0,91780233,1,25:56.0,2.47
I1948219-0,124342836,5,37:40.0,2.55
I2391379-0,105107608,7,21:26.0,0
I2206943-0,106757534,6,09:18.0,1.125
I1917222-0,99852887,6,08:44.0,2.24625
I2341446-0,102885401,7,27:29.0,1.72
I2105411-0,89865853,1,06:26.0,2.62
I1968443-0,87788609,7,33:51.0,0.213636
I2218292-0,95524628,7,10:58.0,2.09125
I2239373-0,133695835,5,17:45.0,1.3
I1947611-0,100929041,6,49:06.0,1
I2101440-0,128250611,5,02:24.0,1
I2388020-0,115600241,6,41:20.0,2.02858
I2243304-0,97264891,7,05:11.0,2.31
I1971151-0,87854871,7,03:15.0,0.3
I2157518-0,105322259,6,12:11.0,1
I2376743-0,104414814,7,45:17.0,1.113577
I2173078-0,130969874,5,40:32.0,2.293333
I2188838-0,131307115,5,37:06.0,0.6
I2341980-0,102910650,7,31:42.0,1.88
I1940343-0,86977223,7,32:56.0,2.718666
I2364489-0,104006735,7,01:17.0,1.456533
I2383015-0,115310678,6,41:00.0,1.43654
I1950391-0,87023204,1,48:50.0,1.344641
I2296184-0,97913182,1,06:00.0,0.3
I2391004-0,101934794,1,27:50.0,1.6
I1964164-0,87332917,1,51:49.0,0.3
I2083813-0,103277006,6,27:24.0,1.133333
I2092661-0,128007967,5,09:51.0,2.276666
I2332778-0,138326258,5,25:04.0,2.1
I2143991-0,91105222,1,50:32.0,0
I2349134-0,139000244,5,09:44.0,0.9
I2093071-0,128021028,5,56:12.0,1.058826
I2217177-0,93307462,1,44:21.0,1.35
I2317676-0,112615665,6,48:02.0,1.17778
I2102496-0,128270349,5,53:46.0,1.55
I1955735-0,87438666,7,49:35.0,0
I2347176-0,100095814,1,35:20.0,1.35
I2121238-0,91461381,7,34:07.0,0.6
I2204485-0,131788135,5,29:23.0,2.226666
I2293622-0,100644811,7,46:14.0,3.0725
I2376840-0,104415953,7,14:32.0,1.392857
I2194645-0,92513341,1,06:49.0,1.3
I2257042-0,109521703,6,44:46.0,0.478571
I1945271-0,87123834,7,40:14.0,0.966666
I2291407-0,136636676,5,01:54.0,0.6085
I2151631-0,91377215,1,59:48.0,2.293333
I1998342-0,125819433,5,35:56.0,1
I2303860-0,112015086,6,43:24.0,1.475
I1922756-0,86286652,7,02:34.0,2.19355
I2398244-0,141146386,5,01:30.0,0.45
I2388823-0,101825788,1,13:34.0,1.05
I2109443-0,89941303,1,59:18.0,1.080955
I2036291-0,88526717,1,19:36.0,1
I2217094-0,93305289,1,54:07.0,0
I2109520-0,91118760,7,46:29.0,1.116666
I2238677-0,108457593,6,17:24.0,1.31528
I2101429-0,89782657,1,30:38.0,0
I2163990-0,105539081,6,36:52.0,1.2
I2122628-0,91504562,7,41:20.0,2.31
I2383727-0,140370630,5,21:00.0,2.08215
I2183647-0,94070391,7,10:31.0,2.89
I2019540-0,88229602,1,27:29.0,1.126
I2012018-0,126101652,5,35:37.0,2.06
I2168058-0,91878114,1,11:25.0,0
I2392813-0,140866197,5,53:46.0,0.85
I2396308-0,105282609,7,00:42.0,0.6
I2362505-0,114507001,6,06:14.0,1
I2370163-0,114789106,6,05:42.0,2.325
I1943408-0,100789737,6,50:50.0,2.591666
I2001794-0,88489827,7,57:46.0,1.0606
I2165889-0,130711837,5,23:13.0,0.5
I2250075-0,95287703,1,49:18.0,1.197675
I2201086-0,92745274,1,48:21.0,2.1
I2344218-0,113657691,6,29:46.0,1.9
I2190022-0,106193897,6,27:05.0,0.2
I2030160-0,89121731,7,14:59.0,0.5
I2375000-0,140006675,5,13:07.0,1.4753
I2120318-0,90182044,1,13:21.0,2.17
I2088207-0,127914343,5,29:52.0,1.046666
I2375165-0,114976583,6,57:04.0,1.466666
I2271736-0,99242066,7,08:04.0,1.3
I2250332-0,97711716,7,35:10.0,2.085
I2039587-0,88600002,1,30:42.0,1.175
I2235277-0,108237892,6,28:15.0,1.071793
I2163313-0,93405754,7,51:30.0,1.328573
I2152478-0,92945469,7,00:46.0,3.17
I2242355-0,133861073,5,16:02.0,1
I2317854-0,101868086,7,15:44.0,1.960909
I2137155-0,104645024,6,09:05.0,1.2582
I2053219-0,88889415,1,00:22.0,0.45
I2308330-0,98475826,1,14:57.0,0.8
I1961743-0,87284670,1,11:27.0,2.591666
I1986804-0,101748233,6,36:20.0,1.92
I1980416-0,125422590,5,49:15.0,0.62
I2183216-0,131174093,5,34:20.0,1
I1919961-0,86168787,7,32:39.0,2.033333
I2183705-0,106021029,6,55:39.0,1
I1968754-0,87432198,1,16:28.0,2.47
I2396113-0,102171479,1,30:48.0,0.6
I2198356-0,92657756,1,58:49.0,0.6
I2238801-0,94631226,1,29:49.0,1.3
I2370154-0,101000183,1,01:54.0,1.15
I2205837-0,92899690,1,40:43.0,2
I2310141-0,98547972,1,28:36.0,1.55
I2372803-0,114908544,6,49:50.0,2.083333
I2281189-0,110962761,6,05:27.0,1.2
I2375512-0,114984046,6,04:35.0,1.158333
I2068945-0,90114772,7,13:17.0,2.18
I2286190-0,100220518,7,22:10.0,1.919166
I2138587-0,129647008,5,12:20.0,2.2
I1961606-0,124825046,5,52:05.0,1.37715
I2075251-0,103118306,6,50:23.0,1
I2286650-0,100237318,7,19:05.0,1.1875
I2277232-0,99580189,7,55:46.0,0.3
I2110082-0,91119066,7,52:36.0,1
I1919285-0,122973409,5,32:30.0,2.95
I2069572-0,127478657,5,57:12.0,2.633333
I2240725-0,97106912,7,50:19.0,2.8224
I2066891-0,102988392,6,53:53.0,0.55
I2282394-0,111029640,6,36:40.0,2.057133
I2184376-0,106036559,6,19:20.0,2.557133
I2096343-0,103501736,6,02:58.0,1.3
I2339861-0,138584866,5,22:06.0,1
I2023791-0,126339684,5,38:11.0,0.6
I1917156-0,86028891,7,33:32.0,2.9
I2381870-0,104626036,7,59:34.0,1.081818
I2394035-0,102072405,1,47:04.0,0.172727
I2353780-0,114129427,6,55:45.0,1.285714
I2299536-0,100955417,7,43:37.0,0.2
I2197225-0,94566235,7,48:19.0,0.5
I2027253-0,126411902,5,11:16.0,0
I2103343-0,89819464,1,51:15.0,1.3
I2051776-0,89721304,7,32:14.0,2.863333
I2297559-0,100844189,7,35:16.0,2.62
